date;host;searches
07.03.2016;mobile_web;9094
08.03.2016;Android;4907
08.03.2016;iOS;24380
08.03.2016;mobile_web;8269
09.03.2016;Android;7461
09.03.2016;iOS;24429
09.03.2016;mobile_web;8717
10.03.2016;Android;6924
10.03.2016;iOS;29616
10.03.2016;mobile_web;9970
11.03.2016;Android;7089
11.03.2016;iOS;30612
11.03.2016;mobile_web;8146
12.03.2016;Android;6504
12.03.2016;iOS;21186
12.03.2016;mobile_web;8527
13.03.2016;Android;6326
13.03.2016;iOS;24941
13.03.2016;mobile_web;9996
14.03.2016;Android;6243
14.03.2016;iOS;31291
14.03.2016;mobile_web;9834
15.03.2016;Android;7970
15.03.2016;iOS;29972
15.03.2016;mobile_web;11543
16.03.2016;Android;7440
16.03.2016;iOS;27242
16.03.2016;mobile_web;11481
17.03.2016;Android;7105
17.03.2016;iOS;25452
17.03.2016;mobile_web;11075
18.03.2016;Android;6977
18.03.2016;iOS;23896
18.03.2016;mobile_web;10203
19.03.2016;Android;6967
19.03.2016;iOS;28119
19.03.2016;mobile_web;9725
20.03.2016;Android;7004
20.03.2016;iOS;22170
20.03.2016;mobile_web;10581
21.03.2016;Android;7746
21.03.2016;iOS;31288
21.03.2016;mobile_web;10183
22.03.2016;Android;6574
22.03.2016;iOS;28841
22.03.2016;mobile_web;9900
23.03.2016;Android;6538
23.03.2016;iOS;29542
23.03.2016;mobile_web;9761
24.03.2016;Android;7891
24.03.2016;iOS;28395
24.03.2016;mobile_web;8560
25.03.2016;Android;7066
25.03.2016;iOS;28621
25.03.2016;mobile_web;8881
26.03.2016;Android;6074
26.03.2016;iOS;23937
26.03.2016;mobile_web;9119
27.03.2016;Android;7165
27.03.2016;iOS;30225
27.03.2016;mobile_web;9571
28.03.2016;Android;8528
28.03.2016;iOS;31615
28.03.2016;mobile_web;9395
29.03.2016;Android;8315
29.03.2016;iOS;26223
29.03.2016;mobile_web;8401
30.03.2016;Android;7319
30.03.2016;iOS;28974
30.03.2016;mobile_web;8684
31.03.2016;Android;8778
31.03.2016;iOS;26807
31.03.2016;mobile_web;7266
01.04.2016;Android;8158
01.04.2016;iOS;22352
01.04.2016;mobile_web;7484
02.04.2016;Android;7117
02.04.2016;iOS;23077
02.04.2016;mobile_web;6961
03.04.2016;Android;7088
03.04.2016;iOS;22744
03.04.2016;mobile_web;7418
04.04.2016;Android;8904
04.04.2016;iOS;25932
04.04.2016;mobile_web;8885
05.04.2016;Android;7609
05.04.2016;iOS;28221
05.04.2016;mobile_web;8792
06.04.2016;Android;8238
06.04.2016;iOS;32202
06.04.2016;mobile_web;8560
07.04.2016;Android;7144
07.04.2016;iOS;27401
07.04.2016;mobile_web;8330
08.04.2016;Android;7551
08.04.2016;iOS;24074
08.04.2016;mobile_web;6357
09.04.2016;Android;6915
09.04.2016;iOS;20633
09.04.2016;mobile_web;7695
10.04.2016;Android;7816
10.04.2016;iOS;29232
10.04.2016;mobile_web;7208
11.04.2016;Android;8948
11.04.2016;iOS;33417
11.04.2016;mobile_web;7607
12.04.2016;Android;7740
12.04.2016;iOS;30217
12.04.2016;mobile_web;9365
13.04.2016;Android;8974
13.04.2016;iOS;29318
13.04.2016;mobile_web;9114
14.04.2016;Android;8169
14.04.2016;iOS;26027
14.04.2016;mobile_web;7442
15.04.2016;Android;7955
15.04.2016;iOS;23041
15.04.2016;mobile_web;7125
16.04.2016;Android;6971
16.04.2016;iOS;28298
16.04.2016;mobile_web;6924
17.04.2016;Android;7691
17.04.2016;iOS;28657
17.04.2016;mobile_web;8145
18.04.2016;Android;8634
18.04.2016;iOS;34664
18.04.2016;mobile_web;8446
19.04.2016;Android;8650
19.04.2016;iOS;34504
19.04.2016;mobile_web;8288
20.04.2016;Android;9430
20.04.2016;iOS;34353
20.04.2016;mobile_web;7914
21.04.2016;Android;8503
21.04.2016;iOS;30725
21.04.2016;mobile_web;9335
22.04.2016;Android;8591
22.04.2016;iOS;24474
22.04.2016;mobile_web;7755
23.04.2016;Android;6814
23.04.2016;iOS;25269
